"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Ping Echo Time (s) Run #1"
0.000,0.213,,,0.001237
0.050,0.216,0.07,,0.001255
0.100,0.219,0.07,0.1,0.001276
0.150,0.223,0.08,0.1,0.001298
0.200,0.227,0.09,0.1,0.001323
0.250,0.232,0.10,0.2,0.001349
0.300,0.237,0.10,0.2,0.001378
0.350,0.242,0.11,0.2,0.001409
0.400,0.248,0.12,0.1,0.001442
0.450,0.254,0.13,0.1,0.001477
0.500,0.261,0.13,0.1,0.001515
0.550,0.267,0.14,0.1,0.001554
0.600,0.275,0.15,0.2,0.001596
0.650,0.282,0.16,0.1,0.001640
0.700,0.290,0.16,0.1,0.001686
0.750,0.298,0.17,0.1,0.001735
0.800,0.307,0.18,0.1,0.001784
0.850,0.316,0.18,0.1,0.001837
0.900,0.325,0.19,0.1,0.001891
0.950,0.335,0.20,0.1,0.001947
1.000,0.345,0.21,0.1,0.002006
1.050,0.355,0.21,0.1,0.002067
1.100,0.366,0.22,0.1,0.002129
1.150,0.377,0.23,0.1,0.002193
1.200,0.389,0.23,0.1,0.002259
1.250,0.400,0.24,0.1,0.002328
1.300,0.413,0.25,0.1,0.002398
1.350,0.425,0.25,0.1,0.002470
1.400,0.438,0.26,0.1,0.002545
1.450,0.451,0.27,0.1,0.002621
1.500,0.464,0.27,0.1,0.002700
1.550,0.478,0.28,0.1,0.002781
1.600,0.492,0.29,0.1,0.002863
1.650,0.507,0.29,0.1,0.002946
1.700,0.522,0.30,0.1,0.003033
1.750,0.537,0.31,0.1,0.003122
1.800,0.552,0.31,0.1,0.003212
1.850,0.568,0.32,0.1,0.003305
1.900,0.585,0.33,0.1,0.003399
1.950,0.601,0.33,0.1,0.003496
2.000,0.618,0.34,0.1,0.003593
2.050,0.635,0.35,0.1,0.003694
2.100,0.653,0.36,0.2,0.003796
2.150,0.671,0.36,0.2,0.003901
2.200,0.689,0.37,0.2,0.004008
2.250,0.708,0.39,0.2,0.004115
2.300,0.728,0.39,0.1,0.004235
2.350,0.748,0.39,0.1,0.004346
2.400,0.767,0.40,0.1,0.004460
2.450,0.787,0.40,,0.004577
2.500,0.808,0.40,,0.004696
2.550,0.827,,,0.004810
